800,"Neoplasias, NOS"
8000/0,"Neoplasia, benigna"
8000/0,"Tumor, benigno"
8000/0,"Tumor no clasificado, benigno"
8000/1,"Neoplasia, incierto si es benigna o maligna"
8000/1,"Neoplasia, NOS"
8000/1,"Tumor, NOS"
8000/1,"Tumor no clasificado, malignidad limítrofe"
8000/1,"Tumor no clasificado, incierto si es benigno o maligno"
8000/3,"Neoplasia, maligna"
8000/3,"Blastoma, NOS"
8000/3,"Tumor, maligno, NOS"
8000/3,Cáncer
8000/3,Malignidad
8000/3,"Tumor no clasificado, maligno"
8000/6,"Neoplasia, metastásica"
8000/6,"Neoplasia, secundaria"
8000/6,Émbolo tumoral
8000/6,"Tumor, metastásico"
8000/6,"Tumor, secundario"
8000/9,"Neoplasia, maligna, incierto si es primaria o metastásica"
8000/9,"Tumor no clasificado, maligno, incierto si es primaria o metastásica"
8001/0,"Células tumorales, benignas"
8001/1,"Células tumorales, incierto si son benignas o malignas"
8001/1,"Células tumorales, NOS"
8001/3,"Células tumorales, malignas"
8002/3,Tumor maligno de células pequeñas
8003/3,Tumor maligno de células gigantes
8004/3,Tumor maligno de células fusiformes
8004/3,Tumor maligno de células fusiformes
8005/0,"Tumor maligno de células claras, NOS"
8005/3,Tumor maligno de células claras
801-804,"Neoplasias epiteliales, NOS"
8010/0,Tumor epitelial benigno
8010/2,"Carcinoma in situ, NOS"
8010/2,"Carcinoma intraepitelial, NOS"
8010/3,"Carcinoma, NOS"
8010/3,Tumor epitelial maligno
8010/3,Carcinoma asociado a heterotopía
8010/6,"Carcinoma metastásico, NOS"
8010/6,Carcinoma secundario
8010/9,Carcinomatosis
8011/0,Epitelioma benigno
8011/3,Epitelioma maligno
8011/3,"Epitelioma, NOS"
8012/3,"Carcinoma de células grandes, NOS"
8013/3,Carcinoma neuroendocrino de células grandes
8013/3,Carcinoma neuroendocrino de células grandes combinado
8014/3,Carcinoma de células grandes con fenotipo rabdoide
8015/3,Carcinoma de células vítreas
8020/3,"Carcinoma indiferenciado, NOS"
8020/3,"Carcinoma poco diferenciado, NOS"
8020/3,Carcinoma indiferenciado anaplásico
8020/3,Carcinoma desdiferenciado
8021/3,"Carcinoma anaplásico, NOS"
8022/3,Carcinoma pleomórfico
8023/3,Carcinoma asociado a proteína nuclear en testículo (NUT)
8023/3,Carcinoma NUT
8023/3,Carcinoma de línea media NUT
8030/3,Carcinoma de células gigantes y fusiformes
8031/3,Carcinoma de células gigantes
8032/3,"Carcinoma fusiforme, NOS"
8033/3,Carcinoma pseudosarcomatoso
8033/3,Carcinoma sarcomatoide
8034/3,Carcinoma de células poligonales
8035/3,Carcinoma con células gigantes similares a osteoclastos
8035/3,Carcinoma escamoso con células gigantes similares a osteoclastos
8035/3,Carcinoma indiferenciado con células gigantes similares a osteoclastos
8040/0,"Tumorlet, benigno"
8040/0,Hiperplasia difusa idiopática de células neuroendocrinas
8040/1,"Tumorlet, NOS"
8041/3,"Carcinoma de células pequeñas, NOS"
8041/3,Reserva carcinoma de células pequeñas
8041/3,Carcinoma de células redondas
8041/3,Carcinoma neuroendocrino de células pequeñas
8041/3,"Carcinoma de células pequeñas, tipo pulmonar"
8042/3,Carcinoma de células de avena
8043/3,"Carcinoma de células pequeñas, células fusiformes"
8044/3,"Carcinoma de células pequeñas, células intermedias"
8044/3,"Carcinoma de células pequeñas, tipo hipercalcémico"
8045/3,Carcinoma combinado de células pequeñas
8045/3,Carcinoma mixto de células pequeñas
8045/3,Carcinoma combinado de células pequeñas y adenocarcinoma
8045/3,Carcinoma combinado de células pequeñas y células grandes
8045/3,Carcinoma combinado de células pequeñas y células escamosas
8046/3,Carcinoma de células no pequeñas
805-808,Neoplasias de células escamosas
8050/0,"Papiloma, NOS"
8050/2,"Carcinoma papilar in situ, NOS"
8050/3,"Carcinoma papilar, NOS"
8051/0,Papiloma verrugoso
8051/3,"Carcinoma verrugoso, NOS"
8051/3,Carcinoma epidermoide verrugoso
8051/3,Carcinoma de células escamosas verrugoso
8052/0,"Papiloma de células escamosas, NOS"
8052/0,Papiloma queratósico
8052/0,Papiloma escamoso
8052/0,"Queratosis benigna, NOS"
8052/0,Queratosis seborreica
8052/0,Lentigo solar
8052/0,Queratosis similar al liquen plano
8052/2,"Carcinoma papilar de células escamosas, no invasivo"
8052/2,Carcinoma papilar de células escamosas in situ
8052/3,Carcinoma papilar de células escamosas
8052/3,Carcinoma epidermoide papilar
8053/0,"Papiloma de células escamosas, invertido"
8054/0,Disqueratoma verrugoso
8054/3,Carcinoma verrugoso
8054/3,Carcinoma condilomatoso
8054/3,Carcinoma verrugoso-basaloide
8060/0,Papilomatosis escamosa
8060/0,"Papilomatosis, NOS"
8070/0,Queratosis actínica
8070/0,Queratosis arsenical
8070/0,Queratosis PUVA
8070/2,"Carcinoma escamoso carcinoma de células escamosas in situ, NOS"
8070/2,"Carcinoma epidermoide in situ, NOS"
8070/2,"Carcinoma intraepidérmico, NOS"
8070/2,Carcinoma de células escamosas intraepitelial
8070/3,"Carcinoma de células escamosas, NOS"
8070/3,"Carcinoma de células escamosas, tipo habitual"
8070/3,"Carcinoma epidermoide, NOS"
8070/3,Carcinoma escamoso
8070/3,Epitelioma de células escamosas
8070/6,"Carcinoma de células escamosas, metastásico, NOS"
8071/2,Neoplasia intraepitelial diferenciada
8071/2,Neoplasia intraepitelial de pene diferenciada (PeIN)
8071/2,Neoplasia intraepitelial vulvar diferenciada (VIN)
8071/3,"Carcinoma de células escamosas, queratinizante, NOS"
8071/3,"Carcinoma epidermoide, queratinizante"
8071/3,"Carcinoma de células escamosas, de células grandes, queratinizante"
8071/3,Queratoacantoma
8072/0,Acantoma de células grandes
8072/3,"Carcinoma de células escamosas, de células grandes, no queratinizante, NOS"
8072/3,"Carcinoma epidermoide, de células grandes, no queratinizante"
8072/3,"Carcinoma de células escamosas, no queratinizante, NOS"
8073/3,"Carcinoma de células escamosas, de células pequeñas, no queratinizante"
8073/3,"Carcinoma epidermoide, de células pequeñas, no queratinizante"
8074/3,"Carcinoma de células escamosas, de células fusiformes"
8074/3,"Carcinoma epidermoide, de células fusiformes"
8074/3,"Carcinoma de células escamosas, sarcomatoide"
8074/3,Carcinoma de células escamosas pseudovascular
8075/3,"Carcinoma de células escamosas, adenoide"
8075/3,"Carcinoma de células escamosas, acantolítico"
8075/3,"Carcinoma de células escamosas, pseudoglandular"
8076/2,Carcinoma de células escamosas in situ con invasión estromal cuestionable
8076/2,Carcinoma epidermoide in situ con invasión estromal cuestionable
8076/3,"Carcinoma de células escamosas, microinvasivo"
8077/0,"Neoplasia intraepitelial escamosa, grado bajo"
8077/0,"Neoplasia intraepitelial escamosa, grado I"
8077/0,Lesión intraepitelial escamosa de grado bajo
8077/0,"Neoplasia intraepitelial anal, grado bajo"
8077/0,"Neoplasia intraepitelial cervical, grado bajo"
8077/0,"Neoplasia intraepitelial escamosa esofágica (displasia), grado bajo"
8077/2,"Neoplasia intraepitelial escamosa, grado alto"
8077/2,"Neoplasia intraepitelial escamosa, grado II"
8077/2,"Neoplasia intraepitelial escamosa, grado III"
8077/2,"Displasia escamosa, grado alto"
8077/2,Lesión intraepitelial escamosa de alto grado
8077/2,"Neoplasia intraepitelial anal, grado III"
8077/2,AIN III
8077/2,"Neoplasia intraepitelial cervical, grado III"
8077/2,"CIN III, NOS"
8077/2,CIN III con displasia grave
8077/2,"Neoplasia intraepitelial escamosa esofágica (displasia), grado alto"
8077/2,"Neoplasia intraepitelial vaginal Neoplasia, grado III"
8077/2,VAIN III
8077/2,"Neoplasia intraepitelial vulvar, grado III"
8077/2,VIN III
8078/3,Carcinoma de células escamosas con formación de cuernos
8080/2,Eritroplasia de Queyrat
8081/2,Enfermedad de Bowen
8081/2,"Carcinoma de células escamosas intraepidérmico, tipo Bowen"
8082/3,Carcinoma linfoepitelial
8082/3,Linfoepitelioma
8082/3,Carcinoma similar al linfoepitelioma
8082/3,Tumor de Schmincke
8083/3,Carcinoma de células escamosas basaloides
8083/3,Carcinoma papilar-basaloideo
8084/0,Acantoma de células claras
8084/3,"Carcinoma de células escamosas, tipo de células claras"
8085/3,"Carcinoma de células escamosas, HPV positivo"
8086/3,"Carcinoma de células escamosas, HPV negativo"
809-811,Neoplasias de células basales
8090/1,Tumor de células basales
8090/3,"Carcinoma de células basales, NOS"
8090/3,Epiteloma de células basales
8090/3,Úlcera de roedor
8090/3,Carcinoma de células basales pigmentado
8090/3,Carcinoma de células basales con diferenciación anexial
8091/3,Carcinoma de células basales superficial
8091/3,Carcinoma de células basales superficial multifocal
8091/3,Carcinoma de células basales multicéntrico
8092/3,"Carcinoma de células basales infiltrante, NOS"
8092/3,"Carcinoma basocelular infiltrante, no esclerosante"
8092/3,"Carcinoma basocelular infiltrante, esclerosante"
8092/3,"Carcinoma basocelular, tipo desmoplásico"
8092/3,"Carcinoma basocelular, morfeico"
8092/3,"Carcinoma basocelular, sarcomatoide"
8093/3,"Carcinoma basocelular, fibroepitelial"
8093/3,"Fibroepitelioma, NOS"
8093/3,Fibroepitelioma de tipo Pinkus
8093/3,"Carcinoma basocelular fibroepitelial, tipo Pinkus"
8093/3,Tumor de Pinkus
8094/3,Carcinoma basoescamoso
8094/3,Carcinoma basoescamoso mixto
8095/3,Carcinoma metatípico
8096/0,Epitelioma intraepidérmico de Jadassohn
8097/3,"Carcinoma basocelular, nodular"
8097/3,"Carcinoma basocelular, micronodular"
8098/3,Carcinoma basal adenoide
8100/0,Tricoepitelioma
8100/0,Tumor de Brooke
8100/0,Epitelioma adenoide quístico
8100/0,Tricoblastoma
8100/0,Trichogerminoma
8100/3,Carcinoma tricoblástico
8100/3,Carcinoma tricoblástico carcinosarcoma
8101/0,Trichofoliculoma
8102/0,Trichilemoma
8102/3,Trichilemocarcinoma
8102/3,Carcinoma triquilemal
8103/0,Tumor pilar
8103/1,Quiste triquilemal proliferante
8103/1,Tumor triquilemal proliferante
8104/0,Acantoma de la vaina pilar
8104/0,Tumor del infundíbulo folicular
8110/0,"Pilomatricoma, NOS"
8110/0,"Pilomatrixoma, NOS"
8110/0,Epitelioma calcificante de Malherbe
8110/0,Matricoma melanocítico
8110/3,"Carcinoma de células escamosas, microinvasivo"
8110/3,"Neoplasia intraepitelial escamosa, grado bajo"
8110/3,"Neoplasia intraepitelial escamosa, grado I"
8110/3,Lesión intraepitelial escamosa de grado bajo
8110/3,"Neoplasia intraepitelial anal, grado bajo"
812-813,"Neoplasia intraepitelial cervical, grado bajo"
8120/0,"Neoplasia intraepitelial escamosa esofágica (displasia), grado bajo"
8120/0,"Neoplasia intraepitelial escamosa, grado alto"
8120/0,"Neoplasia intraepitelial escamosa, grado II"
8120/0,"Neoplasia intraepitelial escamosa, grado III"
8120/0,"Displasia escamosa, grado alto"
8120/2,Lesión intraepitelial escamosa de alto grado
